,Area,CRSI,Governance,Risk,Built Environment,Society,Natural Environment
3390,Hot Spring,3.079,0.471,0.143,0.356,0.487,0.419
3392,Howard,1.219,0.468,0.299,0.362,0.389,0.427
3394,Independence,2.508,0.499,0.199,0.461,0.46,0.354
3396,Izard,1.407,0.445,0.266,0.379,0.485,0.356
3398,Jackson,2.143,0.567,0.278,0.398,0.458,0.444
3400,Jefferson,4.122,0.539,0.161,0.447,0.442,0.475
3402,Johnson,3.113,0.573,0.233,0.387,0.373,0.611
3404,Lafayette,1.482,0.666,0.251,0.238,0.406,0.458
3406,Lawrence,2.25,0.52,0.185,0.368,0.413,0.41
3408,Lee,1.702,0.536,0.142,0.215,0.378,0.461
3410,Lincoln,2.312,0.473,0.127,0.286,0.369,0.46
3412,Little River,1.97,0.52,0.26,0.364,0.406,0.495
3414,Logan,4.224,0.556,0.171,0.402,0.534,0.481
3416,Lonoke,2.929,0.603,0.319,0.536,0.511,0.455
3418,Madison,2.536,0.457,0.128,0.359,0.392,0.399
3420,Marion,1.686,0.43,0.225,0.38,0.442,0.408
3422,Miller,1.076,0.451,0.389,0.324,0.467,0.466
3424,Mississippi,4.03,0.596,0.172,0.492,0.45,0.394
3426,Monroe,3.072,0.651,0.23,0.324,0.511,0.497
3428,Montgomery,3.243,0.452,0.145,0.324,0.412,0.555
3430,Nevada,1.641,0.472,0.208,0.299,0.461,0.416
3432,Newton,1.714,0.508,0.258,0.355,0.329,0.521
3434,Ouachita,2.953,0.484,0.141,0.315,0.465,0.45
3436,Perry,4.582,0.69,0.175,0.352,0.503,0.504
3438,Phillips,2.083,0.543,0.131,0.279,0.307,0.471
3440,Pike,4.136,0.564,0.144,0.367,0.471,0.469
3442,Poinsett,4.563,0.623,0.126,0.404,0.419,0.416
3444,Polk,1.36,0.333,0.323,0.372,0.54,0.516
3446,Pope,4.192,0.545,0.177,0.45,0.47,0.504
3448,Prairie,3.033,0.658,0.244,0.365,0.514,0.464
3450,Pulaski,1.185,0.546,0.88,0.726,0.536,0.374
3452,Randolph,3.596,0.551,0.144,0.375,0.5,0.39
3454,Saline,2.045,0.581,0.419,0.485,0.521,0.471
3456,Scott,5.446,0.601,0.151,0.349,0.511,0.584
3458,Searcy,1.008,0.487,0.249,0.338,0.356,0.373
3460,Sebastian,1.942,0.564,0.353,0.457,0.452,0.451
3462,Sevier,0.562,0.203,0.263,0.341,0.326,0.48
3464,Sharp,2.093,0.433,0.206,0.38,0.554,0.364
3466,St. Francis,5.139,0.624,0.135,0.378,0.479,0.473
3468,Stone,0.986,0.288,0.247,0.356,0.441,0.419
3470,Union,2.235,0.558,0.338,0.452,0.522,0.458
3472,Van Buren,1.616,0.583,0.331,0.4,0.458,0.387
3474,Washington,2.49,0.513,0.322,0.668,0.458,0.359
3476,White,2.804,0.615,0.292,0.515,0.463,0.427
3478,Woodruff,1.573,0.623,0.219,0.31,0.263,0.492
3480,Yell,3.653,0.503,0.179,0.414,0.423,0.556
3482,Louisiana,2.501,0.57,0.338,0.43,0.479,0.457
3484,Acadia,2.915,0.535,0.271,0.493,0.48,0.496
3486,Allen,2.317,0.549,0.295,0.372,0.47,0.54
3488,Ascension,0.889,0.584,0.907,0.461,0.558,0.429
3490,Assumption,1.627,0.649,0.354,0.331,0.439,0.465
3492,Avoyelles,2.668,0.617,0.316,0.445,0.472,0.508
3494,Beauregard,2.922,0.614,0.261,0.442,0.448,0.482
3496,Bienville,1.799,0.553,0.259,0.356,0.408,0.445
3498,Bossier,1.484,0.568,0.477,0.446,0.474,0.459
3500,Caddo,1.763,0.55,0.611,0.686,0.532,0.442
3502,Calcasieu,2.502,0.51,0.467,0.77,0.557,0.465
3504,Caldwell,3.485,0.532,0.129,0.35,0.395,0.464
3506,Cameron,1.388,0.583,0.503,0.386,0.516,0.47
3508,Catahoula,1.972,0.53,0.149,0.267,0.318,0.496
3510,Claiborne,1.022,0.514,0.228,0.23,0.408,0.422
3512,Concordia,3.01,0.518,0.16,0.342,0.374,0.523
3514,De Soto,4.545,0.638,0.183,0.468,0.475,0.459
3516,East Baton Rouge,1.325,0.553,0.666,0.589,0.588,0.354
3518,East Carroll,0.897,0.543,0.293,0.21,0.377,0.482
3520,East Feliciana,1.27,0.566,0.265,0.364,0.363,0.371
3522,Evangeline,2.07,0.554,0.257,0.359,0.421,0.48
3524,Franklin,4.685,0.553,0.125,0.348,0.504,0.462
3526,Grant,6.24,0.56,0.132,0.452,0.426,0.579
3528,Iberia,1.417,0.506,0.36,0.399,0.454,0.429
3530,Iberville,1.6,0.605,0.524,0.427,0.584,0.448
3532,Jackson,1.888,0.515,0.244,0.318,0.521,0.416
3534,Jefferson,1.347,0.632,0.626,0.483,0.578,0.371
3536,Jefferson Davis,1.949,0.508,0.314,0.403,0.477,0.485
3538,La Salle,5.079,0.681,0.156,0.392,0.487,0.472
3540,Lafayette,1.564,0.564,0.655,0.596,0.588,0.437
3542,Lafourche,1.601,0.538,0.442,0.521,0.484,0.397
3544,Lincoln,2.068,0.536,0.255,0.432,0.4,0.426
3546,Livingston,1.392,0.553,0.515,0.495,0.476,0.423
3548,Madison,2.752,0.568,0.224,0.265,0.494,0.573
3550,Morehouse,5.154,0.618,0.146,0.364,0.481,0.528
3552,Natchitoches,5.113,0.605,0.171,0.485,0.418,0.543
3554,Orleans,0.694,0.626,0.692,0.388,0.398,0.386
3556,Ouachita,2.257,0.57,0.406,0.551,0.535,0.443
3558,Plaquemines,2.28,0.603,0.338,0.532,0.486,0.368
3560,Pointe Coupee,2.348,0.609,0.352,0.434,0.537,0.465
3562,Rapides,4.264,0.592,0.313,0.717,0.559,0.507
3564,Red River,2.446,0.517,0.202,0.353,0.448,0.462
3566,Richland,4.671,0.52,0.129,0.315,0.574,0.483
3568,Sabine,5.044,0.621,0.119,0.42,0.43,0.408
3570,St. Bernard,2.222,0.693,0.321,0.45,0.519,0.33
3572,St. Charles,1.642,0.629,0.554,0.437,0.589,0.457
3574,St. Helena,1.305,0.384,0.206,0.29,0.443,0.43
3576,St. James,1.549,0.617,0.473,0.362,0.55,0.464
3578,St. John the Baptist,1.591,0.621,0.484,0.392,0.595,0.416
3580,St. Landry,3.488,0.553,0.261,0.547,0.51,0.481
3582,St. Martin,1.814,0.511,0.345,0.416,0.529,0.437
3584,St. Mary,2.304,0.534,0.351,0.501,0.541,0.453
3586,St. Tammany,0.968,0.41,0.698,0.597,0.518,0.423
3588,Tangipahoa,2.005,0.569,0.404,0.573,0.438,0.422
3590,Tensas,1.712,0.564,0.269,0.344,0.3,0.532
3592,Terrebonne,1.8,0.535,0.335,0.475,0.491,0.364
3594,Union,3.218,0.551,0.207,0.377,0.475,0.517
3596,Vermilion,2.519,0.653,0.35,0.5,0.443,0.467
3598,Vernon,4.454,0.655,0.215,0.498,0.412,0.538
3600,Washington,0.882,0.302,0.254,0.348,0.371,0.441
3602,Webster,3.84,0.69,0.234,0.449,0.497,0.46
3604,West Baton Rouge,1.721,0.584,0.596,0.451,0.691,0.487
3606,West Carroll,5.039,0.701,0.113,0.328,0.367,0.495
3608,West Feliciana,2.169,0.712,0.314,0.37,0.49,0.409
3610,Winn,4.071,0.561,0.145,0.364,0.464,0.475
3612,New Mexico,6.49,0.621,0.166,0.472,0.505,0.498
3614,Bernalillo,1.949,0.609,0.581,0.611,0.557,0.461
3616,Catron,4.783,0.586,0.179,0.394,0.504,0.576
3618,Chaves,3.253,0.568,0.283,0.554,0.511,0.465
3620,Cibola,7.995,0.593,0.1,0.429,0.454,0.534
3622,Colfax,6.315,0.669,0.155,0.463,0.553,0.465
3624,Curry,3.256,0.593,0.19,0.482,0.528,0.293
3626,De Baca,5.443,0.814,0.132,0.258,0.583,0.427
3628,Do?a Ana,8.704,0.609,0.175,0.736,0.497,0.635
3630,Eddy,5.114,0.526,0.204,0.54,0.49,0.645
3632,Grant,10.633,0.604,0.114,0.53,0.646,0.535
3634,Guadalupe,5.862,0.702,0.104,0.33,0.585,0.341
3636,Harding,0.429,0.752,0.087,0.206,0.299,0.372
3638,Hidalgo,4.926,0.573,0.099,0.298,0.336,0.567
3640,Lea,5.582,0.611,0.18,0.57,0.469,0.49
3642,Lincoln,4.285,0.543,0.248,0.576,0.603,0.502
3644,Los Alamos,1.152,0.344,0.365,0.256,0.596,0.557
3646,Luna,11.857,0.627,0.077,0.472,0.349,0.617
3648,McKinley,12.664,0.625,0.095,0.624,0.469,0.541
3650,Mora,2.648,0.695,0.118,0.329,0.411,0.31
3652,Otero,10.251,0.542,0.11,0.601,0.438,0.659
3654,Quay,7.873,0.724,0.116,0.412,0.608,0.392
3656,Rio Arriba,10.097,0.629,0.134,0.619,0.553,0.574
3658,Roosevelt,1.837,0.569,0.221,0.372,0.487,0.311
3660,San Juan,12.005,0.615,0.122,0.693,0.519,0.62
3662,San Miguel,5.675,0.648,0.13,0.467,0.435,0.423
3664,Sandoval,10.102,0.724,0.147,0.642,0.51,0.544
3666,Santa Fe,7.908,0.64,0.157,0.592,0.629,0.458
3668,Sierra,11.673,0.567,0.087,0.36,0.484,0.762
3670,Socorro,3.522,0.619,0.249,0.446,0.398,0.589
3672,Taos,8.605,0.555,0.106,0.545,0.562,0.443
3674,Torrance,7.751,0.675,0.102,0.43,0.516,0.411
3676,Union,3.766,0.711,0.145,0.234,0.592,0.398
3678,Valencia,6.263,0.634,0.164,0.507,0.49,0.534
